reward,agent,experience_bonus,reward_game,counter_changes,representation,changes_penalty,entropy_map,piece_penalty,reward_experience_bonus,discount_rewards,is_done_success,rewards_sum,counter_done_max_changes,bonus_factor,done_penalty,segments,counter_done,entropy,historical,discount_reward,done_bonus,counter_done_interations
2.58,,1.0174,0.0,6,narrow-puzzle,,1.0526064097483934,0,2.6248920000000004,2.269662008923667,True,2.08,0,3.188521078284832,,[27 36  1  1 23 22],36,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([23], dtype=int64), array([22], dtype=int64)]}",,10.0,0
2.58,,1.0176,4.0,8,narrow-puzzle,,1.0539336069638998,0,2.625408,2.1483968012095644,True,1.8800000000000001,0,2.7613402542968153,,[27  1 63  9 63  1],37,1.9182958340544893,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([63], dtype=int64), array([63], dtype=int64), array([63], dtype=int64), array([9], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0178,3.0,13,narrow-puzzle,,1.0389392963884174,0,2.6259240000000004,1.8521963897921743,True,1.3800000000000001,0,2.1661735138967266,,[27  1 14  1 14 76],38,1.9182958340544893,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([63], dtype=int64), array([4], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([27], dtype=int64)]}",,0.0,0
2.58,,1.018,3.0,23,narrow-puzzle,,1.0522080904885391,0,2.62644,1.1800291950349335,True,0.17999999999999927,0,1.0,,[27 23 52  1  1  1],39,1.792481250360578,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([63], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([68], dtype=int64), array([66], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([23], dtype=int64), array([52], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64)]}",,0.0,0
2.58,,1.0182,3.0,15,narrow-puzzle,,1.0359592246414582,0,2.626956,1.5094669060437826,True,0.7799999999999996,0,2.016597794967223,,[ 1  1 17  0  1 27],40,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([1], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([40], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([35], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0184,3.0,9,narrow-puzzle,,1.0378801882134556,0,2.627472,2.088366962842194,True,1.7800000000000002,0,2.6034165586355513,,[27 14  1  1  1 66],41,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([41], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([66], dtype=int64), array([27], dtype=int64), array([14], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0186,0.0,6,narrow-puzzle,,1.0508532513537268,0,2.6279879999999998,2.269662008923667,True,2.08,0,3.188521078284832,,[63 47 48  1 27  1],42,2.251629167387823,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([63], dtype=int64), array([47], dtype=int64), array([48], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0188,0.0,6,narrow-puzzle,,1.0368073098028172,0,2.628504,2.269662008923667,True,2.08,0,3.188521078284832,,[27 15 69  1  1 47],43,2.251629167387823,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([47], dtype=int64)]}",,10.0,0
2.58,,1.019,3.0,10,narrow-puzzle,,1.0381847351922342,0,2.6290199999999997,1.7364393240839353,True,1.18,0,2.469817807045694,,[ 1  1  1 27 74 14],44,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([1], dtype=int64), array([2], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([48], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0192,0.0,6,narrow-puzzle,,1.0544377269074985,0,2.6295360000000003,2.269662008923667,True,2.08,0,3.188521078284832,,[36  1 63  1 27 63],45,1.9182958340544893,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([36], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([63], dtype=int64)]}",,0.0,0
