#{"t_start": 1668598918.7224889, "env_id": null}
r,l,t
1.78,9,309.618932
1.98,7,309.940644
2.08,6,310.247808
1.08,16,310.893543
2.08,6,311.179888
1.88,8,311.538538
2.08,6,311.839827
1.58,11,312.300544
2.08,6,312.593977
1.38,13,313.150156
0.98,17,313.818678
1.68,10,314.240345
2.08,6,314.546427
0.38,23,315.410387
2.08,6,315.715682
1.58,11,316.177579
1.38,13,316.712874
1.68,10,317.154459
1.28,14,317.688645
1.78,9,318.099735
-2.3,23,318.901076
1.88,8,319.252666
1.28,14,319.837593
1.78,9,320.237512
0.98,17,320.898221
2.08,6,321.206259
2.08,6,321.52076
2.08,6,321.827443
1.68,10,322.251694
0.98,17,322.927977
-2.6,26,323.814991
1.98,7,324.157999
2.08,6,324.46049
1.68,10,324.894242
1.88,8,325.273235
1.38,13,325.810348
0.68,20,326.5956
2.08,6,326.889747
2.08,6,327.205933
1.28,14,327.785247
2.08,6,328.102432
2.08,6,328.396759
1.78,9,328.803125
2.08,6,329.090268
1.68,10,329.528659
1.98,7,329.87323
1.58,11,330.33949
0.78,19,331.081676
1.78,9,331.483376
1.98,7,331.813748
1.98,7,332.151309
1.98,7,332.476473
1.88,8,332.848172
1.98,7,333.143975
2.08,6,333.444031
1.68,10,333.869526
2.08,6,334.165522
1.68,10,334.569965
2.08,6,334.861225
-2.6,26,335.74083
1.98,7,336.068501
-2.1,21,336.829636
1.98,7,337.146303
1.98,7,337.46479
2.08,6,337.759259
1.98,7,338.086741
1.98,7,338.415097
2.08,6,338.717466
2.08,6,339.003374
1.18,15,339.605646
-2.1,21,340.356898
1.98,7,340.704287
1.88,8,341.071396
1.88,8,341.450099
1.78,9,341.84464
1.98,7,342.185492
-2.1,21,342.933337
1.38,13,343.49433
2.08,6,343.798361
1.88,8,344.170409
1.48,12,344.672918
1.48,12,345.170289
0.88,18,345.859677
1.98,7,346.210146
1.48,12,346.70578
2.08,6,347.011703
1.98,7,347.353969
1.98,7,347.688563
1.38,13,348.206994
2.08,6,348.510772
1.28,14,349.066418
2.08,6,349.371166
1.88,8,349.738259
1.98,7,350.057015
0.98,17,350.73209
2.08,6,351.036063
-2.5,25,351.87632
1.78,9,352.271733
1.98,7,352.602366
1.88,8,352.97121
2.08,6,353.264471
1.78,9,353.673502
1.48,12,354.173925
2.08,6,354.479068
1.88,8,354.844741
1.98,7,355.165926
0.28,24,356.010607
1.58,11,356.474865
1.98,7,356.81618
2.08,6,357.123154
0.98,17,357.795158
2.08,6,358.104136
1.88,8,358.46075
1.88,8,358.81371
0.98,17,359.459669
1.78,9,359.848614
1.78,9,360.238758
1.68,10,360.661018
2.08,6,360.966255
2.08,6,361.260975
1.68,10,361.673546
1.58,11,362.149093
1.98,7,362.467816
1.98,7,362.807987
1.78,9,363.208958
2.08,6,363.497347
1.38,13,364.028905
0.88,18,364.717389
2.08,6,365.018522
2.08,6,365.309377
1.78,9,365.703966
1.98,7,366.036213
1.68,10,366.457845
0.58,21,367.286406
1.48,12,367.776369
1.48,12,368.274354
2.08,6,368.574628
0.68,20,369.334236
1.88,8,369.714517
1.78,9,370.125706
1.88,8,370.496616
1.28,14,371.063682
2.08,6,371.346989
1.68,10,371.773411
1.98,7,372.099741
2.08,6,372.396272
2.08,6,372.691162
2.08,6,372.990555
-2.2,22,373.765691
0.88,18,374.465152
2.08,6,374.793094
1.98,7,375.139597
1.88,8,375.518596
1.78,9,375.916045
0.58,21,376.706804
1.68,10,377.156836
2.08,6,377.455641
1.38,13,377.98802
1.48,12,378.484448
1.68,10,378.914374
1.68,10,379.344867
2.08,6,379.66186
1.78,9,380.045339
0.48,22,380.872461
2.08,6,381.175714
1.38,13,381.709094
0.78,19,382.431202
1.38,13,382.959969
-2.3,23,383.77069
1.68,10,384.217589
0.88,18,384.914422
-2.3,23,385.730556
2.08,6,386.032086
1.98,7,386.370046
2.08,6,386.663147
0.98,17,387.327596
2.08,6,387.625392
1.78,9,388.037027
2.08,6,388.336207
0.88,18,389.027636
-2.2,22,389.801582
1.78,9,390.210697
1.98,7,390.5453
1.98,7,390.874994
-2.3,23,391.694339
1.68,10,392.123183
1.18,15,392.721646
0.98,17,393.376257
1.78,9,393.780484
1.28,14,394.338442
1.08,16,394.957379
1.48,12,395.453327
0.98,17,396.101578
1.88,8,396.454249
0.68,20,397.195339
1.78,9,397.592407
1.18,15,398.197186
-2.2,22,398.969893
2.08,6,399.270509
1.98,7,399.615225
1.98,7,399.953236
-2.1,21,400.684689
1.38,13,401.20324
1.98,7,401.535795
2.08,6,401.851855
1.08,16,402.461473
